Comment,Designator,Footprint,嘉立创元件编号
5.1kΩ,"R7, R8, R9, R12",0603,C23186
3.3v,U3,SOT-23-3L,C5446
100nF,"C45,C21,C40,C35,C43,C18,C28,C26,C30,C8,C25,C15,C41,C24,C7,C38,C22,C39,C3,C32,C37,C29,C42,C10,C46,C31,C19,C13,C9,C33,C14,C47,C23,C27,C16,C34,C20,C36,C4,C44",0402,C1525
22pF,"C12,C6",0402,C1555
0Ω,"R21,R20",0402,C17168
黄,D1,0603,C72038
蓝,D2,0603,C72041
绿,D3,0603,C72043
10kΩ,"R14,R15,R2,R17,R16",0603,C25804
0Ω,R13,0603,C21189
4.7pF,"C2,C1",0402,C1569
1.5kΩ,R1,0603,C22843
1.5kΩ,R10,0402,C25867
470kΩ,R11,0402,C25790
5.6kΩ,"R5,R6,R4",0603,C25908
